Type,Permission,Administrator,Membership,General Secretary,Staff Account,Trainee/Probationary
Landing,Default landing page,Dashboard,Dashboard,Dashboard,Dashboard,Duty Hours
Module,Dashboard,Allowed,Allowed,Allowed,Allowed,Not allowed
Module,Members,Allowed,Allowed,Not allowed,Allowed,Not allowed
Module,Member Lookup,Allowed,Allowed,Not allowed,Not allowed,Not allowed
Module,Contract,Allowed,Allowed,Not allowed,Not allowed,Not allowed
Module,Monthly Report,Allowed,Allowed,Not allowed,Not allowed,Not allowed
Module,Attendance,Allowed,Allowed,Allowed,Allowed,Not allowed
Module,Duty Hours,Allowed,Allowed,Not allowed,Allowed,Allowed
Module,Action Center,Allowed,Not allowed,Not allowed,Not allowed,Not allowed
Protected Module,Accounts,Allowed,Protected,Protected,Protected,Protected
Protected Module,System Health,Allowed,Protected,Protected,Protected,Protected
Protected Module,Data & Recovery,Allowed,Protected,Protected,Protected,Protected
Note,Dynamic configuration,Administrator role is locked,Other role defaults can be modified in System Health > Role & Permission Center,Changes are stored in Supabase,Landing page must be an assigned module,Protected system-administration functions cannot be delegated
